kabupaten_kota,Garis_Kemiskinan,Indeks_Pembangunan_Manusia,Persen_Penduduk_Miskin,Tingkat Pengangguran Terbuka,Upah Minimum,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (Km2),Rasio Jenis Kelamin Penduduk,tahun,kuartal,PDRB,Proksi Inflasi,Laju_Inflasi,Gini_Ratio,investasi_per_kapita,Jumlah Perusahaan Kecil
JEMBER,400961,69.8,9.39,4.06,2355662.91,2568.6,0.71,6.24,803.0,99.35,2022,2.0,14516.92,Kabupaten Jember,5.53,0.301,69.45739348365124,221
JEMBER,400961,69.8,9.39,4.06,2355662.91,2568.6,0.71,6.24,803.0,99.35,2022,3.0,15288.05,Kabupaten Jember,7.3,0.301,3159.8484471853426,226
JEMBER,400961,69.8,9.39,4.06,2355662.91,2568.6,0.71,6.24,803.0,99.35,2022,4.0,14001.56,Kabupaten Jember,7.39,0.301,833.0956521724642,237
JEMBER,441171,70.42,9.51,4.01,2665392.0,2586.8,0.71,6.23,781.0,99.3,2023,1.0,14045.56,Kabupaten Jember,6.48,0.344,830.7655290074035,252
JEMBER,441171,70.42,9.51,4.01,2665392.0,2586.8,0.71,6.23,781.0,99.3,2023,2.0,15185.96,Kabupaten Jember,4.31,0.344,273.1745374446932,283
JEMBER,441171,70.42,9.51,4.01,2665392.0,2586.8,0.71,6.23,781.0,99.3,2023,3.0,16031.21,Kabupaten Jember,3.05,0.344,50.06076233182253,157
JEMBER,441171,70.42,9.51,4.01,2665392.0,2586.8,0.71,6.23,781.0,99.3,2023,4.0,14721.27,Kabupaten Jember,2.29,0.344,55.67289204096253,158
JEMBER,459043,70.93,9.01,3.23,2838642.0,2603.8,0.7,6.23,786.0,99.3,2024,1.0,14645.47,Kabupaten Jember,2.53,0.321,247.2214095033384,161
JEMBER,459043,70.93,9.01,3.23,2838642.0,2603.8,0.7,6.23,786.0,99.3,2024,2.0,16035.33,Kabupaten Jember,1.99,0.321,296.6534364259469,161
JEMBER,459043,70.93,9.01,3.23,2838642.0,2603.8,0.7,6.23,786.0,99.3,2024,3.0,16802.63,Kabupaten Jember,1.56,0.321,54.18442186742762,174
